web-scraper-order,web-scraper-start-url,category,category-href,item,item-href,name,price,describtion
"1696071479-10","https://petrovich.ru/catalog/1336/","Такелаж","https://petrovich.ru/catalog/21184/","Талреп крюк-кольцо M8 DIN 1480","https://petrovich.ru/catalog/162764816/108074/","Талреп крюк-кольцо M8 DIN 1480","90 ₽","Предназначен для изменения длины и регулировки натяжения стальных канатов, тросов, цепей и др. Широко используется при установке и креплении мачт и антенн."
"1696071480-13","https://petrovich.ru/catalog/1336/","Такелаж","https://petrovich.ru/catalog/21184/","Трос стальной оцинкованный в оболочке d3-4 мм","https://petrovich.ru/catalog/9949/128723/","Трос стальной оцинкованный в оболочке d3-4 мм","22 ₽","Предназначен для создания подвесок, растяжек, такелажных устройств не грузового назначения.  PVC оболочка защищает трос от коррозии. Состоит из 6 прядей."
"1696071484-11","https://petrovich.ru/catalog/1336/","Такелаж","https://petrovich.ru/catalog/21184/","Трос стальной оцинкованный в оболочке d3-4 мм (20 м)","https://petrovich.ru/catalog/9949/141524/","Трос стальной оцинкованный в оболочке d3-4 мм (20 м)","402 ₽","Предназначен для создания подвесок, растяжек, такелажных устройств не грузового назначения.  PVC оболочка защищает трос от коррозии. Состоит из 6 прядей."
"1696071484-14","https://petrovich.ru/catalog/1336/","Такелаж","https://petrovich.ru/catalog/21184/","Шнур плетеный полипропиленовый 24 пряди d12 мм повышенной плотности","https://petrovich.ru/catalog/9950/109433/","Шнур плетеный полипропиленовый 24 пряди d12 мм повышенной плотности","67 ₽","Шнур с сердечником предназначен для использования при подъемных и монтажных работах, транспортировке грузов, в строительстве, судоходстве, быту. Обладает высокой способностью выдерживать ударные нагрузки, прочностью и износостойкостью. Состоит из 24 прядей. В бобине 100 метров.
Использование шнура в проведении альпинистских работ запрещено. Цвет в ассортименте."
"1696071489-12","https://petrovich.ru/catalog/1336/","Такелаж","https://petrovich.ru/catalog/21184/","Зажим троса u-образный d3 мм DIN 741 (2 шт.)","https://petrovich.ru/catalog/162764799/128392/","Зажим троса u-образный d3 мм DIN 741 (2 шт.)","27 ₽","Предназначен для соединения между собой металлических тросов диаметром до 3 мм, а также для изготовления петель."
"1696071489-15","https://petrovich.ru/catalog/1336/","Такелаж","https://petrovich.ru/catalog/21184/","Шнур плетеный полипропиленовый 24 пряди d10 мм повышенной плотности","https://petrovich.ru/catalog/9950/109432/","Шнур плетеный полипропиленовый 24 пряди d10 мм повышенной плотности","37 ₽","Шнур с сердечником предназначен для использования при подъемных и монтажных работах, транспортировке грузов, в строительстве, судоходстве, быту. Обладает высокой способностью выдерживать ударные нагрузки, прочностью и износостойкостью. Состоит из 24 прядей. В бобине 50 метров.
Использование шнура в проведении альпинистских работ запрещено. Цвет в ассортименте."
"1696071494-13","https://petrovich.ru/catalog/1336/","Такелаж","https://petrovich.ru/catalog/21184/","Трос стальной оцинкованный в оболочке d3-4 мм","https://petrovich.ru/catalog/9949/128723/","Трос стальной оцинкованный в оболочке d3-4 мм","22 ₽","Предназначен для создания подвесок, растяжек, такелажных устройств не грузового назначения.  PVC оболочка защищает трос от коррозии. Состоит из 6 прядей."
"1696071494-16","https://petrovich.ru/catalog/1336/","Такелаж","https://petrovich.ru/catalog/21184/","Шпагат ленточный полипропиленовый белый 1100 текс 600 м","https://petrovich.ru/catalog/9950/128741/","Шпагат ленточный полипропиленовый белый 1100 текс 600 м","502 ₽","Шпагат без сердечника предназначен для упаковки и обвязки различных мелких и среднегабаритных грузов, коробок, мебели и для других хозяйственных целей.
""Текс""  – единица линейной плотности, применяемая для измерения толщины волокон и нитей. Чем больше данный показатель, тем толще шпагат."
"1696071497-17","https://petrovich.ru/catalog/1336/","Такелаж","https://petrovich.ru/catalog/21184/","Шнур крученый полиамидный 2 пряди белый d2 мм 100 м","https://petrovich.ru/catalog/9950/152614/","Шнур крученый полиамидный 2 пряди белый d2 мм 100 м","183 ₽","Конструкция нити и отсутствие сердечника обеспечивают минимальное относительное удлинение под нагрузкой. Крученая из нескольких прядей состоящих из сотен волокон, конструкция нити обеспечивает высокую износостойкость. Устойчивость к у-ф излучению."
"1696071498-14","https://petrovich.ru/catalog/1336/","Такелаж","https://petrovich.ru/catalog/21184/","Шнур плетеный полипропиленовый 24 пряди d12 мм повышенной плотности","https://petrovich.ru/catalog/9950/109433/","Шнур плетеный полипропиленовый 24 пряди d12 мм повышенной плотности","67 ₽","Шнур с сердечником предназначен для использования при подъемных и монтажных работах, транспортировке грузов, в строительстве, судоходстве, быту. Обладает высокой способностью выдерживать ударные нагрузки, прочностью и износостойкостью. Состоит из 24 прядей. В бобине 100 метров.
Использование шнура в проведении альпинистских работ запрещено. Цвет в ассортименте."
